hashed_user_id,tickets,claimableAmount,NFT
ff00e4cbffe3d52daefd21d650df7beedfea67967741ff6998ce3308789f21c6,2147928,1,1
f9c26a12cb02bdb0cc2d7d9b19c7e63114ec55abed922c68e42303a823f3484f,126,1,1
f5844783653cf5990f8954cdb67aec6f10635c474f346211f3c44e596767bbb4,4563666,1,1
eaef20ad7f9ac8320ad39c6cf02cc765233354de79045b7fff79bf9f894a1925,245826,1,1
e907dbfc93b258fb740e1b7ed2f45449a285bf15abd3162e6cbcd96dac69131c,1439096,1,1
d7d7d537223a2a30bc0a31ff425b5de344a69928c1a7b40c602420c129ee4874,37880,1,1
d5e8c7f91756173f486968cab62355409e8d9958d8ba80034cc9f974d7d87b40,14650,1,1
d2fc40c19929e1f7206b2b3e8bc81f1c15a5492c0d3948e7c9a21a7bed067e73,23618,1,1
c28bb8800c03bef50cabcebfd0e0a2c8f477b2c10e00437d69651502d71cec28,1378926,1,1
b1864b34bad9b10c5f2ea2aa82d0f5fad7da33ea9afb95115fb91df440d5fce4,3994,1,1
abb768b8bccc2800dff10363cfda2afdba0e037f5fe3134e6fccce4936c02867,20791,1,1
a82444e5d39e6635421d1a304ce495aaa162a33f31d8bb2689aeca2fe65d50fb,253987,1,1
9e2d80196f51b3ed308d5ddf583c1f916bde2e30158c5cc2f6722d37f373dc4c,77939,1,1
9d2c6d5548c1094cb181a7c48790fddbe1d7cc765421339b20dc08e1c35dd3bc,81236,1,1
8694b6391e7396f636404b0c52ab525eb32a396d6e5dfddc732a3c1cbd6edf3b,407429,1,1
78219dc1413ff2f21ffc3dbb5628faa56d87f42cf94b236df02f52fc1a656d4b,1691188,1,1
7712a65744bfc48158e99d830b7f2a7fb4413187b96ab3666ee45510d2bdaead,855127,1,1
68fdcf6cbf6994f4f4d72dcbfb4b901c275db879affae3ac079e1fab4cf6627a,120376,1,1
6706755625c38a704ce7ca520dc1037f5944ee510f3574790d008623c011901e,104188,1,1
6466cda92bf8816d9b0a484fcd2c8f8884af4c82573dea850001767d4be6c818,545725,1,1
622c9aaeba0a6814f0566a2a4d9f233a229124f1f66500c7654b24c307fa69e7,63216,1,1
54936c922bec0016cb463504dff3da89c2b92b3eedb1b23e3bb4816ff3527b83,2209402,1,1
487c60808be73def179bd499e36ddb7ba571a3633dc168246cc0090bd85ccf7c,122685,1,1
45ac51455578c36768f39cf3ea100376d35a16ef195160158d1bf58ee340f913,1236258,1,1
3c16f800df56d5907266186215b37b2b24d133f6ac34fc206d18d72c190f062d,12578,1,1
3939da1e83c9b6334c558bea39f38e41b5fcb451f05b8ac72c27d3e015bb3818,169701,1,1
35ab3f85763a1e72f6728eff44af3b2246b7caaa6581b92a8776d5cd42c793ab,801647,1,1
1e1d626076b6a8dfceaf84760bd3f23323d2bc6132f8e36ac180ebe179bb6936,404266,1,1
